year_month,total_in,total_out,transactions,net
2024-10,1107.04,672.32,11,434.72
2024-11,2092.71,2517.67,13,-424.96
2024-12,3935.38,3809.55,14,125.83
2025-01,4239.95,3863.68,18,376.27
2025-02,3989.95,4033.91,13,-43.96
2025-03,4210.82,4284.62,20,-73.8
2025-04,4641.95,4027.71,16,614.24
2025-05,5074.93,5031.35,16,43.58
2025-06,4345.89,4839.66,11,-493.77
2025-07,4447.94,4092.29,13,355.65
2025-08,4345.93,4257.18,12,88.75
2025-09,4345.89,4980.63,17,-634.74
2025-10,4369.88,3888.74,18,481.14
2025-11,4482.14,4767.41,19,-285.27
2025-12,8108.34,8205.45,28,-97.11
2026-01,648.0,986.28,5,-338.28
